Altium Designer Pick and Place Locations
D:\farmbot\PCB\Farmduino\1.5\Project Outputs for FMB-genesis 20a\Pick Place for FMB-genesis 20a.csv

========================================================================================================================
File Design Information:

Date:       30.09.20
Time:       18:39
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"AUX","LED,green,0603","TopLayer","LED-0603","3617.441","3715.000","180","Typical INFRARED GaAs LED"
"R2","10K,1%,0603","TopLayer","RC0603","4677.247","3281.042","360","Resistor"
"R3","10K,1%,0603","TopLayer","RC0603","4677.247","2771.042","360","Resistor"
"R4","10K,1%,0603","TopLayer","RC0603","4677.247","2261.042","360","Resistor"
"R5","10K,1%,0603","TopLayer","RC0603","4677.247","1750.625","360","Resistor"
"R22","2K,1%,0603","TopLayer","RC0603","567.441","3715.000","180","Resistor"
"R24","10K,1%,0603","TopLayer","RC0603","4677.247","3791.042","360","Resistor"
"R35","2K,1%,0603","TopLayer","RC0603","1372.441","3715.000","180","Resistor"
"R36","2K,1%,0603","TopLayer","RC0603","2147.441","3715.000","180","Resistor"
"R37","2K,1%,0603","TopLayer","RC0603","2952.441","3715.000","180","Resistor"
"R51","2K,1%,0603","TopLayer","RC0603","3767.441","3715.000","180","Resistor"
"C38","22PF,50V,0603","TopLayer","RC0603","3435.000","977.441","270","Capacitor"
"R52","10R,1%,0603","TopLayer","RC0603","4315.000","182.559","270","Resistor"
"R53","10R,1%,0603","TopLayer","RC0603","694.688","1258.066","270","Resistor"
"L3","60R,100MHZ,0805","TopLayer","RC0805","4100.000","961.339","90","Inductor"
"C11","100UF,35V","TopLayer","EC-5X5.3","1658.333","3542.204","90","Polarized Capacitor (Surface Mount)"
"C46","100NF,25V,0603","TopLayer","0603C","1209.688","1245.034","90","Capacitor"
"C48","10UF,10V,0603","TopLayer","0603C","1659.805","575.034","270","Capacitor"
"C53","100NF,50V,0603","TopLayer","0603C","1874.997","1419.997","360","Capacitor"
"C55","100NF,25V,0603","TopLayer","RC0603","1720.000","1232.559","270","Capacitor"
"C61","100NF,50V,0603","TopLayer","0603C","1719.997","575.003","270","Capacitor"
"C62","100NF,50V,0603","TopLayer","0603C","1819.215","1005.625","360","Capacitor"
"C75","1NF,25V,0603","TopLayer","RC0603","1844.688","1563.066","270","Capacitor"
"C76","100NF,25V,0603","TopLayer","RC0603","1590.000","1878.263","90","Capacitor"
"R54","10K,1%,0603","TopLayer","RC0603","1309.688","1218.184","90","Resistor"
"R55","10R,1%,0603","TopLayer","RC0603","1264.688","1833.066","270","Resistor"
"R56","10K,1%,0603","TopLayer","RC0603","1367.188","1218.184","90","Resistor"
"R57","10K,1%,0603","TopLayer","RC0603","1424.688","1218.184","90","Resistor"
"R58","10K,1%,0603","TopLayer","RC0603","1900.000","1563.066","270","Resistor"
"R59","2K,1%,0603","TopLayer","RC0603","1660.000","1232.638","90","Resistor"
"R60","2K,1%,0603","TopLayer","RC0603","1904.688","1333.184","90","Resistor"
"R61","2K,1%,0603","TopLayer","RC0603","1849.688","1333.184","90","Resistor"
"R62","10K,1%,0603","TopLayer","RC0603","1412.229","1878.066","270","Resistor"
"R63","10K,1%,0603","TopLayer","RC0603","1471.486","1878.066","270","Resistor"
"R64","10K,1%,0603","TopLayer","RC0603","1530.743","1878.066","270","Resistor"
"SWD1","4P---2.54","TopLayer","HDR1X4","1234.688","1526.890","270","Header, 4-Pin"
"U13","AMS1117-3.3","TopLayer","SOT-223","1660.428","835.144","0",""
"U14","STM32F303CXT6","TopLayer","LQFP-48","1527.365","1558.058","90",""
"R66","10K,1%,0603","TopLayer","RC0603","1710.000","1107.559","270","Resistor"
"P20","12P---2.54","TopLayer","HDR1X12","1128.467","60.625","180","Header, 12-Pin"
"E5","","TopLayer","3528-21","1818.688","1157.680","180","Polarized Capacitor (Axial)"
"C74","100NF,50V,0603","TopLayer","0603C","3640.000","3500.591","270","Capacitor"
"U15","SN74AHCT1G125DBVRE4","TopLayer","SOT-23-5","1552.286","1192.476","270",""
"R68","10K,1%,0603","TopLayer","RC0603","1402.129","1130.625","180","Resistor"
"R67","10K,1%,0603","TopLayer","RC0603","1877.559","1480.000","360","Resistor"
"X12","3X2P---2.54","TopLayer","HDR2X3","4125.002","110.625","180","Header, 3-Pin, Dual row"
"D3","1N4148","TopLayer","SOD-323","1965.000","1444.724","270","Default Diode"
"C8","100UF,35V","TopLayer","EC-5X5.3","3935.000","3542.204","90","Polarized Capacitor (Surface Mount)"
"C115","100PF,25V,0603","TopLayer","RC0603","3481.000","2622.559","270","Capacitor"
"C116","100PF,25V,0603","TopLayer","RC0603","3410.000","1892.441","270","Capacitor"
"C117","100PF,25V,0603","TopLayer","RC0603","3897.441","1590.000","180","Capacitor"
"C118","100NF,25V,0603","TopLayer","RC0603","3897.441","1770.000","180","Capacitor"
"C119","100PF,25V,0603","TopLayer","RC0603","3670.000","1892.441","270","Capacitor"
"C120","100PF,25V,0603","TopLayer","RC0603","3947.441","2250.000","180","Capacitor"
"C121","1NF,25V,0603","TopLayer","RC0603","3345.000","1567.441","270","Capacitor"
"C123","100PF,25V,0603","TopLayer","RC0603","3730.000","1892.441","270","Capacitor"
"C124","100PF,25V,0603","TopLayer","RC0603","3465.000","1892.441","270","Capacitor"
"C125","100PF,25V,0603","TopLayer","RC0603","3947.441","2070.000","180","Capacitor"
"C126","100PF,25V,0603","TopLayer","RC0603","3649.000","2622.559","270","Capacitor"
"R74","0.02R,1%,1W,1206","TopLayer","1206R","4205.000","3405.000","360","Resistor"
"R75","0.02R,1%,1W,1206","TopLayer","1206R","4205.000","2895.000","360","Resistor"
"R76","0.02R,1%,1W,1206","TopLayer","1206R","4205.000","2385.000","360","Resistor"
"R80","0.02R,1%,1W,1206","TopLayer","1206R","4205.000","1875.000","360","Resistor"
"R81","0.02R,1%,1W,1206","TopLayer","1206R","4205.000","1365.000","360","Resistor"
"R106","1K,1%,0603","TopLayer","RC0603","3897.638","1530.000","360","Resistor"
"R107","1K,1%,0603","TopLayer","RC0603","3537.000","2622.559","270","Resistor"
"R108","33K,1%,0603","TopLayer","RC0603","3855.000","2042.441","90","Resistor"
"R109","33K,1%,0603","TopLayer","RC0603","3555.000","2457.559","270","Resistor"
"R110","33K,1%,0603","TopLayer","RC0603","3850.000","2287.559","270","Resistor"
"R111","33K,1%,0603","TopLayer","RC0603","3410.000","2042.441","270","Resistor"
"R112","1K,1%,0603","TopLayer","RC0603","3947.638","2310.000","360","Resistor"
"R114","100R,1%,0603","TopLayer","RC0603","3372.441","1480.000","360","Resistor"
"R115","1K,1%,0603","TopLayer","RC0603","3897.559","1650.000","360","Resistor"
"R116","1K,1%,0603","TopLayer","RC0603","3947.638","2190.000","360","Resistor"
"R117","1K,1%,0603","TopLayer","RC0603","3425.000","2622.559","270","Resistor"
"R118","20K,1%,0603","TopLayer","RC0603","3897.559","1709.882","360","Resistor"
"R119","1K,1%,0603","TopLayer","RC0603","3947.638","2010.000","360","Resistor"
"R121","1K,1%,0603","TopLayer","RC0603","3705.000","2622.559","270","Resistor"
"R122","1K,1%,0603","TopLayer","RC0603","3947.726","2130.000","180","Resistor"
"R124","1K,1%,0603","TopLayer","RC0603","3593.000","2622.559","270","Resistor"
"R125","1K,1%,0603","TopLayer","RC0603","3405.000","1607.441","270","Resistor"
"U12","LM358ADR","TopLayer","SOIC-8","3625.000","1665.000","270",""
"U17","LM324ADR","TopLayer","SO-14","3620.000","2165.000","180","Quadruple Operational Amplifier"
"C122","10UF,10V,0603","TopLayer","RC0603","860.000","653.184","90","Capacitor"
